Case ID,Suspect,Variable,Value,Description,Solution
C2945,Alice,Motive,None,Suspect's motive for the crime,Peter
C6454,Peter,Location,Garden,Location of the crime,John
C9379,Alice,Motive,Greed,Suspect's motive for the crime,John
C7934,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C9718,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C6800,John,Weapon,Knife,Murder weapon,John
C5863,John,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C9692,John,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C3361,John,Weapon,Poison,Murder weapon,Mary
C5671,Peter,Motive,Revenge,Suspect's motive for the crime,Alice
C5091,Alice,Location,Garden,Location of the crime,Mary
C6560,John,Motive,Revenge,Suspect's motive for the crime,Peter
C7716,Peter,Weapon,Knife,Murder weapon,John
C1988,Peter,Motive,None,Suspect's motive for the crime,Mary
C8265,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C8425,Mary,Motive,Revenge,Suspect's motive for the crime,Mary
C3338,John,Motive,None,Suspect's motive for the crime,Mary
C2890,John,Motive,None,Suspect's motive for the crime,Mary
C4487,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C2190,Mary,Location,Living Room,Location of the crime,Alice
C9535,John,Location,Bedroom,Location of the crime,Peter
C1159,Alice,Motive,Revenge,Suspect's motive for the crime,Mary
C7880,Mary,Motive,Jealousy,Suspect's motive for the crime,Mary
C2670,Mary,Motive,None,Suspect's motive for the crime,Alice
C3548,Alice,Weapon,Fists,Murder weapon,Mary
C7751,John,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C2375,John,Location,Kitchen,Location of the crime,John
C5284,John,Location,Kitchen,Location of the crime,Peter
C4997,Mary,Motive,Greed,Suspect's motive for the crime,Alice
C1374,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C3683,John,Motive,None,Suspect's motive for the crime,Mary
C2784,Alice,Motive,None,Suspect's motive for the crime,John
C3428,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C5179,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C9263,Peter,Weapon,Gun,Murder weapon,Alice
C7457,Mary,Motive,Greed,Suspect's motive for the crime,Peter
C6949,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C9009,Mary,Weapon,Fists,Murder weapon,John
C7251,Mary,Motive,Greed,Suspect's motive for the crime,Mary
C2366,Mary,Location,Kitchen,Location of the crime,John
C3855,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C3033,Mary,Location,Kitchen,Location of the crime,John
C8105,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C2093,Peter,Weapon,Gun,Murder weapon,John
C3845,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C9381,Alice,Weapon,Poison,Murder weapon,Mary
C8176,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C5375,Alice,Weapon,Fists,Murder weapon,Alice
C7509,Alice,Location,Bedroom,Location of the crime,John
C3430,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C7126,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C9988,Alice,Motive,Revenge,Suspect's motive for the crime,Mary
C3779,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C7902,Peter,Weapon,Gun,Murder weapon,Alice
C9769,John,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C7964,Peter,Location,Garden,Location of the crime,Peter
C4947,Peter,Location,Garden,Location of the crime,Mary
C7474,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C1095,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C5057,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,John
C5525,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C8390,Mary,Weapon,Knife,Murder weapon,John
C7855,Peter,Weapon,Gun,Murder weapon,John
C8693,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C4131,John,Location,Living Room,Location of the crime,Mary
C9453,John,Motive,Revenge,Suspect's motive for the crime,Mary
C7515,Peter,Weapon,Poison,Murder weapon,John
C5559,Alice,Weapon,Poison,Murder weapon,Peter
C2083,John,Location,Living Room,Location of the crime,John
C1969,Alice,Location,Garden,Location of the crime,Mary
C4610,Mary,Opportunity,High,Suspect's opportunity to commit the crime,John
C2537,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C8038,Alice,Location,Kitchen,Location of the crime,John
C1274,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C8958,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C4111,Mary,Weapon,Gun,Murder weapon,John
C6044,Alice,Location,Garden,Location of the crime,Mary
C1375,John,Location,Garden,Location of the crime,Alice
C3363,Peter,Location,Kitchen,Location of the crime,John
C3073,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C6826,John,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C9176,Alice,Motive,Revenge,Suspect's motive for the crime,Mary
C6492,Peter,Location,Kitchen,Location of the crime,Mary
C4737,Peter,Weapon,Poison,Murder weapon,Mary
C8842,Peter,Motive,Jealousy,Suspect's motive for the crime,John
C9792,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C9152,Alice,Motive,Greed,Suspect's motive for the crime,Mary
C2240,Alice,Motive,None,Suspect's motive for the crime,Mary
C3521,Alice,Weapon,Gun,Murder weapon,Mary
C1799,Alice,Location,Garden,Location of the crime,Mary
C8418,John,Location,Bedroom,Location of the crime,Mary
C9517,Alice,Location,Bedroom,Location of the crime,Alice
C3094,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,John
C5545,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C5478,John,Motive,Revenge,Suspect's motive for the crime,Alice
C3898,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C1710,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C3056,Mary,Motive,None,Suspect's motive for the crime,John
C2686,Peter,Motive,Revenge,Suspect's motive for the crime,Alice
C4696,Mary,Location,Bedroom,Location of the crime,Alice
C9561,Mary,Weapon,Gun,Murder weapon,John
C2386,Mary,Location,Bedroom,Location of the crime,Mary
C8327,Peter,Location,Bedroom,Location of the crime,Mary
C9907,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C1414,Peter,Location,Living Room,Location of the crime,John
C9553,Peter,Motive,Jealousy,Suspect's motive for the crime,John
C3788,John,Location,Garden,Location of the crime,Peter
C1016,John,Location,Bedroom,Location of the crime,Peter
C2381,Alice,Weapon,Poison,Murder weapon,Alice
C9840,Mary,Location,Kitchen,Location of the crime,Peter
C2859,Alice,Motive,None,Suspect's motive for the crime,John
C7231,Peter,Weapon,Poison,Murder weapon,Mary
C8258,Peter,Location,Garden,Location of the crime,John
C3586,Mary,Motive,None,Suspect's motive for the crime,Mary
C2073,John,Opportunity,High,Suspect's opportunity to commit the crime,John
C9405,Alice,Weapon,Knife,Murder weapon,John
C8823,Alice,Location,Bedroom,Location of the crime,John
C2288,John,Weapon,Knife,Murder weapon,Peter
C9504,Mary,Weapon,Fists,Murder weapon,John
C7301,John,Location,Bedroom,Location of the crime,Mary
C6351,John,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C6781,Alice,Weapon,Poison,Murder weapon,Peter
C4934,Mary,Motive,None,Suspect's motive for the crime,John
C3110,John,Location,Kitchen,Location of the crime,Alice
C9484,Peter,Motive,None,Suspect's motive for the crime,Alice
C4788,Alice,Motive,Greed,Suspect's motive for the crime,John
C7075,Alice,Location,Garden,Location of the crime,John
C5690,John,Motive,None,Suspect's motive for the crime,Alice
C5646,Peter,Weapon,Knife,Murder weapon,Peter
C5598,John,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C9851,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C9274,John,Motive,Revenge,Suspect's motive for the crime,John
C8951,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C5427,Alice,Location,Kitchen,Location of the crime,Mary
C7151,Peter,Motive,Greed,Suspect's motive for the crime,Alice
C6365,John,Motive,None,Suspect's motive for the crime,Peter
C6347,Alice,Motive,Jealousy,Suspect's motive for the crime,Mary
C4114,Mary,Weapon,Gun,Murder weapon,John
C8243,Alice,Opportunity,High,Suspect's opportunity to commit the crime,John
C7865,Peter,Motive,Revenge,Suspect's motive for the crime,John
C6117,Alice,Motive,None,Suspect's motive for the crime,Peter
C7950,Mary,Location,Kitchen,Location of the crime,Alice
C3641,Mary,Location,Bedroom,Location of the crime,Alice
C1002,John,Weapon,Gun,Murder weapon,John
C5670,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C1386,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C4359,Mary,Location,Bedroom,Location of the crime,John
C3786,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C5173,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C9758,Alice,Location,Living Room,Location of the crime,Peter
C7127,Alice,Motive,Revenge,Suspect's motive for the crime,Peter
C9815,John,Motive,None,Suspect's motive for the crime,Peter
C3502,Alice,Motive,Jealousy,Suspect's motive for the crime,Mary
C7412,Peter,Location,Garden,Location of the crime,Peter
C4677,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C6583,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,John
C5006,Alice,Location,Living Room,Location of the crime,Mary
C2712,Peter,Weapon,Fists,Murder weapon,Mary
C6566,Peter,Motive,Greed,Suspect's motive for the crime,Peter
C1497,Alice,Location,Garden,Location of the crime,Alice
C3840,Alice,Location,Bedroom,Location of the crime,Mary
C6715,Mary,Weapon,Fists,Murder weapon,Peter
C8580,John,Location,Bedroom,Location of the crime,Mary
C9533,Alice,Motive,None,Suspect's motive for the crime,Peter
C8296,John,Motive,Jealousy,Suspect's motive for the crime,Mary
C7567,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C7741,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C3269,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C2471,Alice,Location,Kitchen,Location of the crime,Peter
C3317,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C5274,Peter,Motive,Revenge,Suspect's motive for the crime,Peter
C5451,John,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C5750,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,John
C3838,Peter,Weapon,Poison,Murder weapon,Alice
C5197,John,Weapon,Gun,Murder weapon,Peter
C4736,John,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C6569,Mary,Motive,Jealousy,Suspect's motive for the crime,Alice
C2868,Alice,Location,Garden,Location of the crime,John
C3788,Peter,Motive,Revenge,Suspect's motive for the crime,Mary
C6920,John,Motive,Jealousy,Suspect's motive for the crime,Peter
C7768,Alice,Location,Bedroom,Location of the crime,John
C7196,John,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C1155,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C3120,John,Location,Garden,Location of the crime,Alice
C2723,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C3567,John,Weapon,Poison,Murder weapon,Alice
C8837,Mary,Weapon,Poison,Murder weapon,Alice
C6445,John,Opportunity,High,Suspect's opportunity to commit the crime,John
C9786,Peter,Location,Garden,Location of the crime,John
C1774,John,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C7351,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C1048,Alice,Motive,Revenge,Suspect's motive for the crime,Mary
C8852,Peter,Motive,Greed,Suspect's motive for the crime,John
C4063,Mary,Motive,Revenge,Suspect's motive for the crime,Alice
C9165,Alice,Motive,Greed,Suspect's motive for the crime,Alice
C6944,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C7566,Alice,Motive,Greed,Suspect's motive for the crime,Alice
C7647,Peter,Location,Garden,Location of the crime,Mary
C5289,Mary,Location,Garden,Location of the crime,Alice
C3286,Peter,Location,Kitchen,Location of the crime,John
C6617,Mary,Location,Living Room,Location of the crime,John
C6479,John,Motive,Jealousy,Suspect's motive for the crime,Alice
C5151,John,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C2970,John,Weapon,Poison,Murder weapon,Mary
C8098,Peter,Location,Kitchen,Location of the crime,John
C7719,Peter,Location,Bedroom,Location of the crime,Alice
C2174,John,Weapon,Fists,Murder weapon,Alice
C1276,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C7960,Peter,Motive,Greed,Suspect's motive for the crime,Peter
C7619,Peter,Motive,Jealousy,Suspect's motive for the crime,Mary
C5903,Alice,Motive,Revenge,Suspect's motive for the crime,Mary
C3683,Peter,Weapon,Poison,Murder weapon,Mary
C7614,Peter,Motive,None,Suspect's motive for the crime,Peter
C8068,Mary,Location,Living Room,Location of the crime,Mary
C5594,Alice,Weapon,Fists,Murder weapon,John
C8767,Mary,Motive,None,Suspect's motive for the crime,Alice
C1181,Mary,Motive,Revenge,Suspect's motive for the crime,John
C3010,Peter,Motive,Greed,Suspect's motive for the crime,John
C8839,John,Weapon,Gun,Murder weapon,John
C9220,John,Location,Bedroom,Location of the crime,Mary
C1760,John,Location,Living Room,Location of the crime,Peter
C2978,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C2764,Peter,Location,Bedroom,Location of the crime,Alice
C5035,Alice,Location,Garden,Location of the crime,Mary
C2976,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C5002,Mary,Motive,Greed,Suspect's motive for the crime,John
C5494,John,Location,Garden,Location of the crime,Alice
C3721,John,Weapon,Poison,Murder weapon,John
C8794,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C3685,Alice,Location,Kitchen,Location of the crime,Alice
C4564,Alice,Motive,None,Suspect's motive for the crime,Peter
C1868,Peter,Motive,None,Suspect's motive for the crime,Mary
C9924,Alice,Weapon,Knife,Murder weapon,John
C3742,Mary,Location,Kitchen,Location of the crime,Peter
C1484,John,Motive,Revenge,Suspect's motive for the crime,Mary
C5477,John,Motive,None,Suspect's motive for the crime,John
C2325,Mary,Motive,Jealousy,Suspect's motive for the crime,Alice
C1127,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C5627,Alice,Weapon,Gun,Murder weapon,John
C2677,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C2683,John,Motive,Greed,Suspect's motive for the crime,Peter
C6902,John,Weapon,Knife,Murder weapon,John
C2788,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C5916,Alice,Location,Bedroom,Location of the crime,John
C8550,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C6966,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C7623,Alice,Weapon,Fists,Murder weapon,Alice
C2967,John,Location,Bedroom,Location of the crime,John
C2890,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C5798,Peter,Location,Garden,Location of the crime,John
C1401,Peter,Location,Kitchen,Location of the crime,Mary
C9555,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C4206,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C4428,John,Location,Living Room,Location of the crime,Peter
C4097,John,Weapon,Poison,Murder weapon,John
C6041,Peter,Weapon,Knife,Murder weapon,Mary
C4075,John,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C1920,John,Location,Garden,Location of the crime,Alice
C1114,Mary,Opportunity,High,Suspect's opportunity to commit the crime,John
C7759,John,Motive,None,Suspect's motive for the crime,Alice
C5414,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C6210,John,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C8089,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C2272,Alice,Location,Garden,Location of the crime,Alice
C1521,Mary,Motive,Greed,Suspect's motive for the crime,Alice
C8415,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C3993,John,Location,Bedroom,Location of the crime,Peter
C3902,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C4466,Alice,Weapon,Poison,Murder weapon,Mary
C5934,Mary,Location,Bedroom,Location of the crime,John
C2140,Alice,Location,Bedroom,Location of the crime,Peter
C6262,Alice,Weapon,Fists,Murder weapon,Mary
C8017,Peter,Location,Living Room,Location of the crime,Alice
C4395,Alice,Weapon,Poison,Murder weapon,John
C2168,Peter,Motive,None,Suspect's motive for the crime,Peter
C9242,Mary,Weapon,Gun,Murder weapon,Alice
C6725,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C5366,Peter,Weapon,Knife,Murder weapon,John
C2827,John,Location,Bedroom,Location of the crime,Alice
C4511,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C6078,John,Location,Living Room,Location of the crime,Mary
C1441,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C8241,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C5194,Peter,Motive,None,Suspect's motive for the crime,Mary
C7551,Peter,Location,Garden,Location of the crime,Mary
C2521,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C5303,Mary,Opportunity,High,Suspect's opportunity to commit the crime,John
C7321,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C8144,Peter,Weapon,Knife,Murder weapon,Peter
C2107,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C7643,Alice,Weapon,Poison,Murder weapon,Alice
C6196,Alice,Weapon,Knife,Murder weapon,Alice
C3163,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C5730,Alice,Location,Garden,Location of the crime,Alice
C5189,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C2091,John,Motive,Revenge,Suspect's motive for the crime,Peter
C9595,Alice,Location,Living Room,Location of the crime,John
C7047,John,Location,Living Room,Location of the crime,Mary
C2463,John,Location,Garden,Location of the crime,Mary
C9007,John,Motive,Greed,Suspect's motive for the crime,Alice
C3662,John,Motive,Jealousy,Suspect's motive for the crime,Alice
C9414,Peter,Location,Garden,Location of the crime,Alice
C6062,Mary,Weapon,Knife,Murder weapon,Alice
C7583,Peter,Weapon,Fists,Murder weapon,John
C7933,Mary,Location,Living Room,Location of the crime,Peter
C7105,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C3179,John,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C1279,John,Weapon,Knife,Murder weapon,Peter
C1170,Alice,Weapon,Fists,Murder weapon,Alice
C5973,Alice,Location,Garden,Location of the crime,John
C6421,John,Opportunity,Low,Suspect's opportunity to commit the crime,John
C6015,Mary,Motive,Jealousy,Suspect's motive for the crime,John
C8727,John,Weapon,Knife,Murder weapon,Alice
C5322,Mary,Weapon,Fists,Murder weapon,Peter
C9149,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C9212,Peter,Location,Bedroom,Location of the crime,Mary
C4946,John,Location,Kitchen,Location of the crime,John
C9784,John,Location,Kitchen,Location of the crime,Peter
C8274,Alice,Weapon,Fists,Murder weapon,Mary
C4731,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C6420,Alice,Weapon,Knife,Murder weapon,John
C3974,Peter,Motive,Greed,Suspect's motive for the crime,Alice
C8330,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C3040,Mary,Weapon,Fists,Murder weapon,Peter
C9788,Mary,Location,Kitchen,Location of the crime,Peter
C9332,Mary,Weapon,Fists,Murder weapon,John
C8328,Peter,Motive,Revenge,Suspect's motive for the crime,John
C9029,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C2651,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C6119,Alice,Location,Kitchen,Location of the crime,Alice
C9986,Alice,Motive,None,Suspect's motive for the crime,Alice
C8815,Mary,Location,Bedroom,Location of the crime,Peter
C4585,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C5439,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C3894,Peter,Location,Kitchen,Location of the crime,John
C3724,Mary,Location,Garden,Location of the crime,John
C6998,Peter,Motive,None,Suspect's motive for the crime,Peter
C4107,Peter,Weapon,Knife,Murder weapon,John
C4912,Alice,Weapon,Gun,Murder weapon,Alice
C1163,John,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C8901,Mary,Weapon,Gun,Murder weapon,John
C2996,Peter,Weapon,Poison,Murder weapon,Mary
C7614,Mary,Motive,Revenge,Suspect's motive for the crime,Alice
C8933,Peter,Motive,Jealousy,Suspect's motive for the crime,Alice
C4158,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C9833,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C9479,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C2183,John,Motive,Jealousy,Suspect's motive for the crime,Mary
C7951,Mary,Weapon,Fists,Murder weapon,Alice
C8656,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C4404,John,Location,Garden,Location of the crime,Mary
C7700,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C2773,Alice,Location,Bedroom,Location of the crime,Mary
C1091,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C7751,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C5538,Peter,Weapon,Knife,Murder weapon,John
C4782,Mary,Weapon,Poison,Murder weapon,Peter
C9848,Peter,Location,Garden,Location of the crime,John
C4765,Alice,Location,Living Room,Location of the crime,John
C8330,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C7319,Alice,Weapon,Poison,Murder weapon,Mary
C6187,Peter,Opportunity,High,Suspect's opportunity to commit the crime,John
C6907,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C4121,John,Motive,Jealousy,Suspect's motive for the crime,Alice
C7163,Alice,Location,Garden,Location of the crime,Mary
C8795,Peter,Motive,Revenge,Suspect's motive for the crime,John
C8149,Peter,Motive,None,Suspect's motive for the crime,Alice
C4526,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C1859,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C5972,Alice,Weapon,Gun,Murder weapon,Peter
C7970,Alice,Weapon,Knife,Murder weapon,John
C4242,John,Location,Kitchen,Location of the crime,Alice
C6658,Mary,Location,Living Room,Location of the crime,Peter
C1979,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C4282,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C4849,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C8354,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C9487,John,Weapon,Fists,Murder weapon,Mary
C8713,Peter,Location,Kitchen,Location of the crime,John
C4939,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
